imgName,subId,response,rt,nClicks,gender,income,education,congruency,valueDiff,saliencyLocation,correctness
flippedimg_25,5f1c56ae47b7400908bae9c9,Right,2.947,1,Male,30000,High School Diploma or equivalent,1,-4,0,1
flippedimg_25,5f08dd79938b1e15c0bd56a6,Right,3.696,2,Female,NaN,High School Diploma or equivalent,1,-4,0,1
flippedimg_25,5c62fbd932207f00016bd19e,Right,4.484,2,Female,80000,Bachelor's Degree,1,-4,0,1
flippedimg_25,5bd8d12abeca730001cf1926,Right,2.548,2,Male,15000,Bachelor's Degree,1,-4,0,1
flippedimg_25,5ecd4b6b8ebded08f71361b1,Right,2.709,1,Female,1000,High School Diploma or equivalent,1,-4,0,1
flippedimg_25,5efc96a12da8b4056d00cd93,Right,2.348,1,Male,55000,High School Diploma or equivalent,1,-4,0,1
flippedimg_25,5e1d4ad0aedc2c0cd69a1278,Right,3.441,1,Male,0,Master's Degree,1,-4,0,1
flippedimg_25,5c5c65ccf808d600015155ea,Right,4.327,1,Female,50000,Bachelor's Degree,1,-4,0,1
flippedimg_25,5e9ce99a8035dd1cf6b23aa7,Right,2.851,1,Male,30000,High School Diploma or equivalent,1,-4,0,1
flippedimg_25,5df949909195c66d579887f4,Right,2.065,1,Male,15000,High School Diploma or equivalent,1,-4,0,1
flippedimg_25,5e2df47e1996e2000a1da03f,Right,1.438,1,Male,90000,Master's Degree,1,-4,0,1
flippedimg_25,5e721cdce963f7000d4d26a4,Right,4.405,3,Male,25000,Bachelor's Degree,1,-4,0,1
flippedimg_25,5d40706844220d00191363da,Right,3.784,1,Female,50000,High School Diploma or equivalent,1,-4,0,1
flippedimg_25,5e62d0f9ffed3206751eb55c,Right,5.519,1,Male,30000,Bachelor's Degree,1,-4,0,1
flippedimg_25,5d4ca0c0112f830016026942,Right,3.124,1,Female,0,Bachelor's Degree,1,-4,0,1
flippedimg_25,5d9e6e24348a610012ad4292,Right,2.723,1,Female,40000,High School Diploma or equivalent,1,-4,0,1
flippedimg_25,5bf0bf413c1b1c0001ce9336,Right,5.859,1,Female,19000,Master's Degree,1,-4,0,1
flippedimg_25,5e99dadcb9ea5b047f30a2c2,Left,0,0,Male,10000,Bachelor's Degree,1,-4,0,
flippedimg_25,5ea97c487b2a16069184abcc,Right,1.257,1,Female,40000,Bachelor's Degree,1,-4,0,1
flippedimg_25,5d54043a7f6fa40001b13299,Right,6.418,1,Female,35000,Master's Degree,1,-4,0,1
flippedimg_25,5f0f58b82ab2910f275ed21e,Right,0,0,Male,44480,High School Diploma or equivalent,1,-4,0,
flippedimg_25,5ec45b4b30b4c334ecb6cf6b,Right,5.432,2,Female,0,Bachelor's Degree,1,-4,0,1
flippedimg_25,5c5d6b55b7ce2100011fa04e,Right,0,0,Male,NaN,High School Diploma or equivalent,1,-4,0,
img_27,5d4556c5d1f123001716bae3,Left,2.607,1,Male,3000,High School Diploma or equivalent,1,4,1,1
img_27,5dcb016991c2ba7e029b6545,Left,0.586,1,Female,20000,High School Diploma or equivalent,1,4,1,1
img_27,5e9886c0cb28b607b3e7f42f,Left,1.358,1,Male,200000,Associate's Degree,1,4,1,1
img_27,5e6ff43e18d1a809cd0b836a,Left,0,0,Male,30000,Bachelor's Degree,1,4,1,
img_27,5cf23dc994df330018876744,Left,2.694,1,Female,70000,Master's Degree,1,4,1,1
img_27,579540d016a091000112cdf5,Left,3.271,1,Male,59000,Bachelor's Degree,1,4,1,1
img_27,5eea4d6485ba010cd59c2107,Left,0,0,Male,400000,Bachelor's Degree,1,4,1,
img_27,5d92b4debda22b00179a2edf,Left,1.938,1,Male,40000,Bachelor's Degree,1,4,1,1
img_27,5ede038270fe0e000ab7ae54,Left,2.047,1,Male,30000,Associate's Degree,1,4,1,1
img_27,5a910c8a6475f900019f8cbc,Left,5.2,1,Male,300000,Bachelor's Degree,1,4,1,1
