imgName,subId,response,rt,nClicks,congruency,valueDiff,saliencyLocation,correctness,normalizedRt,income,education,gender
flippedimg_25,5f0f58b82ab2910f275ed21e,Right,0,0,1,-4,0,NaN,0,44480,High School Diploma or equivalent,Male
flippedimg_25,5ec45b4b30b4c334ecb6cf6b,Right,5.432,2,1,-4,0,1,1.29837628866595,0,Bachelor's Degree,Female
flippedimg_25,5c5d6b55b7ce2100011fa04e,Right,0,0,1,-4,0,NaN,0,2000,High School Diploma or equivalent,Male
img_27,5d4556c5d1f123001716bae3,Left,2.607,1,1,4,1,1,0.729149186105051,3000,High School Diploma or equivalent,Male
img_27,5dcb016991c2ba7e029b6545,Left,0.586,1,1,4,1,1,0.321601112542279,20000,High School Diploma or equivalent,Female
img_27,5e9886c0cb28b607b3e7f42f,Left,1.358,1,1,4,1,1,0.442302055173762,200000,Associate's Degree,Male
img_27,5e6ff43e18d1a809cd0b836a,Left,0,0,1,4,1,NaN,0,30000,Bachelor's Degree,Male
img_27,5cf23dc994df330018876744,Left,2.694,1,1,4,1,1,0.781322505800464,70000,Master's Degree,Female
img_27,579540d016a091000112cdf5,Left,3.271,1,1,4,1,1,0.512840613339187,59000,Bachelor's Degree,Male
img_27,5eea4d6485ba010cd59c2107,Left,0,0,1,4,1,NaN,0,400000,Bachelor's Degree,Male
img_27,5d92b4debda22b00179a2edf,Left,1.938,1,1,4,1,1,0.474488296934678,40000,Bachelor's Degree,Male
img_27,5ede038270fe0e000ab7ae54,Left,2.047,1,1,4,1,1,0.594159990711715,30000,Associate's Degree,Male
img_27,5a910c8a6475f900019f8cbc,Left,5.2,1,1,4,1,1,0.740114068657536,300000,Bachelor's Degree,Male
img_27,5ce998fda20e6000170c5ce8,Left,1.798,1,1,4,1,1,0.840776245031564,50000,High School Diploma or equivalent,Female
img_27,5e8222aec6db759394a891f4,Left,1.757,1,1,4,1,1,0.38987903320651,10000,Master's Degree,Female
img_27,59d7a9a250f88f000161eb07,Left,4.088,1,1,4,1,1,1.06034471578456,20000,Master's Degree,Male
img_27,5f204b5558c81f30e9860972,Left,0,0,1,4,1,NaN,0,5000,Bachelor's Degree,Female
img_27,5b910e2aa067840001b100af,Left,3.259,1,1,4,1,1,0.778082845887549,40000,Associate's Degree,Male
img_27,5da5a0f915b62c00141f609a,Left,1.842,1,1,4,1,1,0.40919929783,150000,High School Diploma or equivalent,Female
img_27,5ad2d9fafb109b0001a32749,Left,6.779,2,1,4,1,1,1.00592768746588,40000,Associate's Degree,Female
img_27,5f1e174460bf5d7ad7a63b8e,Left,1.82,1,1,4,1,1,0.496122340498031,22661,High School Diploma or equivalent,Male
img_27,5d62f080d556f20001807aa2,Left,2.387,1,1,4,1,1,0.762324133706607,35000,Master's Degree,Male
